,x,y,start,stop,toa,tot,ftoa
49,94,3,1.8904687499999998e-05,2.2104687499999998e-05,757,128,13
50,174,70,2.03375e-05,4.36625e-05,814,933,8
51,111,176,2.03734375e-05,2.85984375e-05,815,329,1
52,246,114,2.0567187499999998e-05,4.56671875e-05,823,1004,5
53,41,190,2.1129687499999998e-05,3.65046875e-05,846,615,13
54,137,198,2.12e-05,3.175e-05,848,422,0
55,151,108,2.13015625e-05,2.40515625e-05,853,110,15
56,180,75,2.151875e-05,3.246875e-05,861,438,4
57,152,147,2.17015625e-05,2.59765625e-05,869,171,15
58,136,141,2.1809375e-05,3.0384374999999998e-05,873,343,10
59,215,29,2.27328125e-05,4.73828125e-05,910,986,11
60,1,102,2.2785937499999997e-05,3.10609375e-05,912,331,9
61,8,175,2.31703125e-05,3.72703125e-05,927,564,3
62,186,251,2.35015625e-05,3.11515625e-05,941,306,15
63,29,169,2.3721875000000002e-05,3.2071875e-05,949,334,2
64,74,125,2.4465625e-05,4.6215625e-05,979,870,6
65,251,76,2.50890625e-05,3.24140625e-05,1004,293,7
66,4,189,2.5167187499999998e-05,3.54671875e-05,1007,412,5
67,155,15,2.5285937499999997e-05,4.9335937499999996e-05,1012,962,9
68,23,30,2.61921875e-05,3.9167187499999996e-05,1048,519,5
69,15,206,2.6723437499999998e-05,4.92734375e-05,1069,902,1
70,205,254,2.724375e-05,2.984375e-05,1090,104,4
71,102,245,2.77140625e-05,4.40640625e-05,1109,654,7
72,67,60,2.798125e-05,3.678125e-05,1120,352,12
73,183,115,2.8e-05,3.615e-05,1120,326,0
74,7,134,2.87453125e-05,4.17453125e-05,1150,520,3
75,120,169,3.0020312500000002e-05,5.4245312500000005e-05,1201,969,3
76,101,147,3.04703125e-05,5.0495312499999995e-05,1219,801,3
77,105,255,3.0782812500000004e-05,5.49578125e-05,1232,967,11
78,155,190,3.09359375e-05,3.27609375e-05,1238,73,9
79,51,219,3.1323437500000005e-05,4.8548437500000004e-05,1253,689,1
80,86,230,3.19328125e-05,3.6857812499999996e-05,1278,197,11
81,118,232,3.19625e-05,4.55875e-05,1279,545,8
82,29,79,3.2084375e-05,4.3059375e-05,1284,439,10
83,138,245,3.2385937500000004e-05,4.88109375e-05,1296,657,9
84,3,19,3.2665625e-05,4.146562500000001e-05,1307,352,6
85,254,117,3.2928125e-05,3.6128125000000006e-05,1318,128,14
86,173,242,3.32703125e-05,4.56453125e-05,1331,495,3
87,85,52,3.428125e-05,4.1056250000000005e-05,1372,271,12
88,107,50,3.4465625e-05,3.6065625e-05,1379,64,6
89,115,223,3.4776562499999996e-05,4.3676562499999995e-05,1392,356,15
90,73,156,3.5440625e-05,4.2815625e-05,1418,295,6
91,223,106,3.61875e-05,5.96375e-05,1448,938,8
92,171,172,3.68390625e-05,5.0689062499999996e-05,1474,554,7
93,192,70,3.6929687499999996e-05,5.5354687499999996e-05,1478,737,13
94,79,171,3.70234375e-05,4.90234375e-05,1481,480,1
95,142,135,3.71140625e-05,5.65140625e-05,1485,776,7
96,171,7,3.8290625000000004e-05,5.2740625e-05,1532,578,6
97,139,157,3.8351562499999995e-05,5.54765625e-05,1535,685,15
98,69,145,3.8634374999999995e-05,6.0709375e-05,1546,883,10
99,163,145,3.8740625e-05,4.4290625e-05,1550,222,6
100,10,163,3.91734375e-05,5.0723437499999995e-05,1567,462,1
101,202,99,4.0351562499999996e-05,6.0676562499999995e-05,1615,813,15
102,165,149,4.0890625e-05,5.3140625e-05,1636,490,6
103,12,75,4.16265625e-05,6.13265625e-05,1666,788,15
104,13,29,4.2071875e-05,4.6571875e-05,1683,180,2
105,252,150,4.22703125e-05,4.61953125e-05,1691,157,3
106,82,189,4.25234375e-05,4.95484375e-05,1701,281,1
107,171,35,4.2539062499999995e-05,5.658906249999999e-05,1702,562,7
108,191,28,4.256875e-05,6.726875e-05,1703,988,4
109,138,119,4.2778125e-05,6.0053125e-05,1712,691,14
110,176,73,4.3115625e-05,4.4915625e-05,1725,72,6
111,161,205,4.31953125e-05,4.51953125e-05,1728,80,3
112,156,13,4.4551562499999996e-05,4.46765625e-05,1783,5,15
113,100,115,4.46e-05,6.43e-05,1784,788,0
114,98,199,4.46078125e-05,4.53828125e-05,1785,31,11
115,210,77,4.5290625000000005e-05,4.7415625e-05,1812,85,6
116,78,103,4.65765625e-05,5.55015625e-05,1864,357,15
117,197,151,4.670625e-05,4.900625e-05,1869,92,12
118,142,42,4.6893750000000005e-05,5.0468750000000004e-05,1876,143,4
119,149,90,4.7025e-05,6.49e-05,1881,715,0
120,130,11,4.71515625e-05,6.10515625e-05,1887,556,15
121,14,63,4.8e-05,7.2825e-05,1920,993,0
122,231,124,4.84125e-05,6.11125e-05,1937,508,8
123,47,42,4.8910937500000006e-05,6.398593750000001e-05,1957,603,9
124,41,58,4.895e-05,4.98e-05,1958,34,0
125,2,177,4.9118750000000005e-05,6.494375e-05,1965,633,4
126,249,107,4.983125e-05,5.490625e-05,1994,203,12
127,24,242,5.0203125e-05,6.2728125e-05,2009,501,14
128,101,63,5.02265625e-05,6.15765625e-05,2010,454,15
129,48,91,5.02546875e-05,6.892968750000001e-05,2011,747,13
130,1,39,5.0765625e-05,6.0740625e-05,2031,399,6
131,9,49,5.16375e-05,5.43625e-05,2066,109,8
132,139,240,5.1931250000000005e-05,6.195625e-05,2078,401,12
133,226,104,5.1943750000000006e-05,5.9993750000000005e-05,2078,322,4
134,202,239,5.2304687499999997e-05,6.435468749999999e-05,2093,482,13
135,101,201,5.2740625e-05,6.0390625000000006e-05,2110,306,6
136,94,163,5.29390625e-05,5.69390625e-05,2118,160,7
137,133,215,5.340625e-05,5.9131250000000004e-05,2137,229,12
138,193,67,5.3728125e-05,7.3003125e-05,2150,771,14
139,127,64,5.3898437500000005e-05,6.797343750000001e-05,2156,563,1
140,97,179,5.4039062499999996e-05,6.56640625e-05,2162,465,7
141,155,187,5.5225e-05,7.4175e-05,2209,758,0
142,37,78,5.5756250000000003e-05,6.823125000000001e-05,2231,499,12
143,238,12,5.62203125e-05,6.41703125e-05,2249,318,3
144,6,17,5.65453125e-05,7.95953125e-05,2262,922,3
145,212,107,5.69546875e-05,6.81296875e-05,2279,447,13
146,229,140,5.7210937500000004e-05,7.57609375e-05,2289,742,9
147,120,251,5.8417187499999996e-05,5.88171875e-05,2337,16,5
148,187,181,5.8684374999999995e-05,6.1334375e-05,2348,106,10
149,138,186,5.9435937500000004e-05,7.40859375e-05,2378,586,9
150,62,174,6.0057812500000004e-05,6.82078125e-05,2403,326,11
151,6,10,6.01109375e-05,8.41109375e-05,2405,960,9
152,113,160,6.0696874999999996e-05,7.3196875e-05,2428,500,2
153,196,34,6.17625e-05,6.983750000000001e-05,2471,323,8
154,91,36,6.19e-05,7.8425e-05,2476,661,0
155,183,246,6.2434375e-05,7.2109375e-05,2498,387,10
156,104,65,6.347812499999999e-05,6.7053125e-05,2540,143,14
157,194,101,6.39609375e-05,8.52109375e-05,2559,850,9
158,77,52,6.425e-05,7.282500000000001e-05,2570,343,0
159,254,132,6.52546875e-05,8.13046875e-05,2611,642,13
160,197,14,6.538750000000001e-05,6.74125e-05,2616,81,8
161,73,123,6.58640625e-05,6.60140625e-05,2635,6,7
162,31,107,6.61e-05,8.0625e-05,2644,581,0
163,214,118,6.719843749999999e-05,8.964843749999999e-05,2688,898,1
164,224,79,6.7434375e-05,7.2459375e-05,2698,201,10
165,17,215,6.753750000000001e-05,6.981250000000001e-05,2702,91,8
166,29,18,6.8028125e-05,6.905312499999999e-05,2722,41,14
167,247,123,6.9540625e-05,7.0040625e-05,2782,20,6
168,136,1,6.987187500000001e-05,9.4196875e-05,2795,973,2
169,161,242,6.98734375e-05,8.86484375e-05,2795,751,1
170,192,57,7.03e-05,7.7275e-05,2812,279,0
171,161,106,7.051875e-05,8.251875e-05,2821,480,4
172,186,181,7.11625e-05,8.33375e-05,2847,487,8
173,163,207,7.12859375e-05,8.12109375e-05,2852,397,9
174,68,163,7.145e-05,9.36e-05,2858,886,0
175,101,99,7.1540625e-05,9.3815625e-05,2862,891,6
176,47,86,7.203750000000001e-05,8.91875e-05,2882,686,8
177,255,24,7.3034375e-05,8.1859375e-05,2922,353,10
178,22,124,7.30828125e-05,9.33078125e-05,2924,809,11
179,236,89,7.320625000000001e-05,7.325625000000001e-05,2929,2,12
180,212,92,7.35640625e-05,8.91140625e-05,2943,622,7
181,206,38,7.39515625e-05,9.03265625e-05,2959,655,15
182,111,206,7.41046875e-05,9.13296875e-05,2965,689,13
183,5,171,7.415e-05,8.545e-05,2966,452,0
184,201,27,7.436875e-05,9.136875e-05,2975,680,4
185,156,127,7.4425e-05,9.26e-05,2977,727,0
186,146,252,7.45515625e-05,9.27765625e-05,2983,729,15
187,28,195,7.47109375e-05,9.40359375e-05,2989,773,9
188,158,46,7.53265625e-05,8.455156250000001e-05,3014,369,15
189,72,39,7.539218750000001e-05,9.566718750000001e-05,3016,811,5
190,165,132,7.54203125e-05,8.90953125e-05,3017,547,3
191,130,202,7.5828125e-05,9.180312499999999e-05,3034,639,14
192,27,217,7.61625e-05,9.31625e-05,3047,680,8
193,191,244,7.7128125e-05,7.8153125e-05,3086,41,14
194,186,158,7.77859375e-05,8.24109375e-05,3112,185,9
195,53,132,7.79203125e-05,0.0001013203125,3117,936,3
196,185,177,7.82703125e-05,8.792031250000001e-05,3131,386,3
197,220,255,7.82890625e-05,9.911406250000001e-05,3132,833,7
198,112,237,7.850781249999999e-05,9.293281249999999e-05,3141,577,11
199,36,29,7.86734375e-05,9.04234375e-05,3147,470,1
200,249,198,7.9084375e-05,8.8259375e-05,3164,367,10
201,146,4,7.9125e-05,7.9875e-05,3165,30,0
202,48,183,7.91484375e-05,9.81484375e-05,3166,760,1
203,128,246,7.931875e-05,9.551875e-05,3173,648,4
204,130,194,7.99234375e-05,8.72734375e-05,3197,294,1
205,3,8,8.009843749999999e-05,9.239843749999999e-05,3204,492,1
206,115,55,8.0175e-05,8.0875e-05,3207,28,0
207,64,105,8.054531250000001e-05,9.464531250000001e-05,3222,564,3
208,9,180,8.109218750000001e-05,8.156718750000001e-05,3244,19,5
209,192,61,8.15453125e-05,9.65703125e-05,3262,601,3
210,39,99,8.2271875e-05,9.9746875e-05,3291,699,2
211,29,133,8.2415625e-05,9.3015625e-05,3297,424,6
212,58,239,8.27328125e-05,9.37328125e-05,3310,440,11
213,238,228,8.32078125e-05,8.86828125e-05,3329,219,11
214,243,138,8.32984375e-05,8.43484375e-05,3332,42,1
215,170,95,8.37609375e-05,0.00010506093750000001,3351,852,9
216,82,32,8.39421875e-05,8.40171875e-05,3358,3,5
217,33,175,8.41546875e-05,8.672968749999999e-05,3367,103,13
218,91,49,8.4325e-05,9.835e-05,3373,561,0
219,237,164,8.4434375e-05,8.9234375e-05,3378,192,10
220,125,109,8.47640625e-05,9.59640625e-05,3391,448,7
221,228,193,8.503281249999999e-05,8.575781249999999e-05,3402,29,11
222,234,250,8.65015625e-05,0.0001088265625,3461,893,15
223,198,206,8.670468749999999e-05,9.645468749999999e-05,3469,390,13
224,189,154,8.694375e-05,9.899374999999999e-05,3478,482,4
225,78,190,8.73640625e-05,0.0001058390625,3495,739,7
226,112,30,8.92765625e-05,0.00011412656250000001,3572,994,15
227,166,214,8.951874999999999e-05,0.00010511874999999999,3581,624,4
228,159,37,8.955625e-05,0.00010950625,3583,798,12
229,213,151,8.963125e-05,0.00010510625,3586,619,12
230,17,72,9.013281249999999e-05,9.513281249999999e-05,3606,200,11
231,7,128,9.042187500000001e-05,0.000107096875,3617,667,2
232,87,69,9.0425e-05,9.960000000000001e-05,3617,367,0
233,69,240,9.0928125e-05,0.00011012812499999999,3638,768,14
234,63,124,9.09640625e-05,0.0001023890625,3639,457,7
235,255,217,9.1065625e-05,9.524062500000001e-05,3643,167,6
236,171,71,9.115312499999999e-05,0.00011045312499999998,3647,772,14
237,83,152,9.21359375e-05,0.00011286093750000001,3686,829,9
238,227,7,9.2396875e-05,0.000109121875,3696,669,2
239,221,196,9.2596875e-05,0.000108771875,3704,647,2
240,117,218,9.26796875e-05,0.0001025796875,3708,396,13
241,212,70,9.290312499999999e-05,9.740312499999999e-05,3717,180,14
242,117,239,9.41265625e-05,9.55515625e-05,3766,57,15
243,160,214,9.462343749999999e-05,0.0001120734375,3785,698,1
244,28,209,9.539218750000001e-05,0.00011454218750000001,3816,766,5
245,127,113,9.5509375e-05,9.688437500000001e-05,3821,55,10
246,62,47,9.60640625e-05,0.0001053640625,3843,372,7
247,74,206,9.6246875e-05,0.000107721875,3850,459,2
248,107,84,9.63203125e-05,0.0001186703125,3853,894,3
249,155,126,9.670156250000001e-05,0.0001125265625,3869,633,15
250,147,130,9.739843749999999e-05,0.0001103984375,3896,520,1
251,151,85,9.784531250000001e-05,0.00011182031250000001,3914,559,3
252,38,68,9.8078125e-05,0.000101053125,3924,119,14
253,212,79,9.8146875e-05,0.000106896875,3926,350,2
254,113,12,9.82859375e-05,9.966093750000001e-05,3932,55,9
255,241,180,9.84203125e-05,0.0001080703125,3937,386,3
256,240,50,9.87359375e-05,0.00010733593750000001,3950,344,9
257,4,173,9.883125000000001e-05,0.00010523125000000001,3954,256,12
258,82,45,9.9340625e-05,0.000123515625,3974,967,6
259,194,157,9.93953125e-05,0.0001005453125,3976,46,3
260,246,229,0.0001001421875,0.0001161421875,4006,640,5
261,45,5,0.0001003578125,0.00010855781249999999,4015,328,11
262,155,144,0.0001004296875,0.0001168296875,4018,656,13
263,212,184,0.000100815625,0.000101090625,4033,11,6
264,175,152,0.00010099687500000001,0.000112021875,4040,441,2
265,19,61,0.0001010796875,0.0001226296875,4044,862,13
266,93,205,0.00010196875,0.00012431874999999998,4079,894,4
267,233,50,0.0001023265625,0.0001035765625,4094,50,15
268,165,42,0.0001026828125,0.0001060578125,4108,135,11
269,232,116,0.00010281718750000001,0.00011449218750000001,4113,467,5
270,67,194,0.0001035859375,0.0001177359375,4144,566,9
271,17,173,0.0001041609375,0.0001184859375,4167,573,9
272,245,37,0.000104165625,0.00011559062499999999,4167,457,6
273,201,43,0.000104478125,0.000122503125,4180,721,14
274,185,11,0.0001045265625,0.0001180765625,4182,542,15
275,84,213,0.00010501875,0.00012596875,4201,838,4
276,185,146,0.0001055796875,0.0001291796875,4224,944,13
277,118,207,0.0001056234375,0.0001193984375,4225,551,1
278,185,98,0.0001063375,0.0001208875,4254,582,8
279,81,201,0.00010740625,0.00012503125,4297,705,12
280,81,98,0.00010744843749999999,0.00012269843749999998,4298,610,1
281,222,115,0.0001088609375,0.0001223109375,4355,538,9
282,70,142,0.000109140625,0.00011721562499999999,4366,323,6
283,58,223,0.00010923281249999999,0.00011898281249999999,4370,390,11
284,144,95,0.0001109109375,0.0001307109375,4437,792,9
285,154,232,0.0001111390625,0.00011581406250000001,4446,187,7
286,189,97,0.00011125625,0.00011735625,4451,244,12
287,111,176,0.000111884375,0.000131684375,4476,792,10
288,241,55,0.0001119140625,0.0001312390625,4477,773,7
289,51,31,0.00011238281249999999,0.00011608281249999998,4496,148,11
290,128,106,0.000113246875,0.000134821875,4530,863,2
291,245,144,0.0001134078125,0.0001149078125,4537,60,11
292,91,202,0.0001134203125,0.0001166453125,4537,129,3
293,61,42,0.000113746875,0.000135496875,4550,870,2
294,75,65,0.00011384375,0.00012501875,4554,447,4
295,191,34,0.0001150390625,0.0001218890625,4602,274,7
296,137,20,0.0001150390625,0.0001342890625,4602,770,7
297,59,62,0.0001151921875,0.0001194421875,4608,170,5
298,219,107,0.0001152546875,0.0001176546875,4611,96,13
299,115,184,0.00011530625,0.00014065625,4613,1014,12
300,169,141,0.0001155703125,0.0001239453125,4623,335,3
301,111,215,0.00011576874999999999,0.00013371875,4631,718,4
302,160,73,0.000115965625,0.00011621562500000001,4639,10,6
303,152,89,0.00011683906249999999,0.0001175140625,4674,27,7
304,14,125,0.0001168859375,0.0001255359375,4676,346,9
305,5,213,0.00011775625,0.00013658125000000002,4711,753,12
306,223,8,0.00011853437499999999,0.00012755937499999998,4742,361,10
307,194,126,0.00011974375,0.00014416875,4790,977,4
308,30,152,0.0001205546875,0.0001217296875,4823,47,13
309,233,183,0.00012166250000000001,0.0001350125,4867,534,8
310,104,246,0.00012213749999999998,0.0001313375,4886,368,8
311,35,38,0.000122484375,0.000132484375,4900,400,10
312,14,75,0.00012276718749999998,0.00013941718749999998,4911,666,5
313,219,114,0.0001237796875,0.0001252546875,4952,59,13
314,131,57,0.0001237828125,0.0001356578125,4952,475,11
315,208,65,0.00012383125,0.00012585625,4954,81,12
316,0,200,0.000124271875,0.00014229687499999998,4971,721,2
317,212,61,0.0001243125,0.00012663749999999998,4973,93,8
318,146,203,0.0001245125,0.0001304625,4981,238,8
319,49,42,0.0001246984375,0.00012567343750000001,4988,39,1
320,191,8,0.00012490781249999998,0.00012785781249999997,4997,118,11
321,137,30,0.000125509375,0.00014648437500000002,5021,839,10
322,239,77,0.0001257078125,0.0001316828125,5029,239,11
323,242,49,0.00012580937500000002,0.00014343437500000003,5033,705,10
324,20,5,0.00012591406250000002,0.00013611406250000003,5037,408,7
325,100,72,0.00012625625,0.00013025624999999998,5051,160,12
326,246,127,0.0001265,0.000130375,5060,155,0
327,123,232,0.00012690468750000002,0.0001314296875,5077,181,13
328,233,218,0.0001270703125,0.00013617031250000002,5083,364,3
329,4,76,0.0001270765625,0.0001396765625,5084,504,15
330,51,107,0.0001270953125,0.0001475953125,5084,820,3
331,188,25,0.00012791406250000002,0.00013926406250000002,5117,454,7
332,128,168,0.00012895625,0.00013778125000000002,5159,353,12
333,12,66,0.00012898281249999999,0.0001403328125,5160,454,11
334,50,152,0.0001290609375,0.0001407859375,5163,469,9
335,123,150,0.0001293921875,0.00014071718749999998,5176,453,5
336,71,236,0.0001300609375,0.0001508109375,5203,830,9
337,138,128,0.00013061249999999998,0.00014738749999999997,5225,671,8
338,150,195,0.0001307921875,0.0001402921875,5232,380,5
339,33,191,0.00013083125,0.00014938125,5234,742,12
340,16,135,0.000130903125,0.00013270312499999998,5237,72,14
341,233,234,0.00013097656250000002,0.00013597656250000003,5240,200,15
342,115,61,0.0001321,0.00014765,5284,622,0
343,232,131,0.0001321015625,0.0001511515625,5285,762,15
344,50,83,0.000132234375,0.000155809375,5290,943,10
345,38,32,0.0001324375,0.0001552875,5298,914,8
346,117,78,0.000133615625,0.000152265625,5345,746,6
347,126,59,0.000133696875,0.00013674687499999998,5348,122,2
348,95,204,0.0001339109375,0.0001444359375,5357,421,9
349,46,140,0.0001340109375,0.0001364609375,5361,98,9
350,35,205,0.000134440625,0.00015289062499999998,5378,738,6
351,195,180,0.0001347703125,0.0001434203125,5391,346,3
352,222,179,0.000134890625,0.000150490625,5396,624,6
353,112,4,0.000135515625,0.000138040625,5421,101,6
354,159,87,0.00013722187499999998,0.00014342187499999997,5489,248,2
355,11,100,0.0001373421875,0.0001595671875,5494,889,5
356,52,4,0.000138390625,0.000151415625,5536,521,6
357,78,2,0.000138475,0.00015754999999999998,5539,763,0
358,104,202,0.0001385875,0.0001404875,5544,76,8
359,105,209,0.00013927343750000002,0.00014362343750000002,5571,174,1
360,142,164,0.0001397265625,0.0001514765625,5590,470,15
361,153,74,0.0001402484375,0.0001487234375,5610,339,1
362,44,160,0.0001405703125,0.0001577203125,5623,686,3
363,236,119,0.00014083906250000002,0.00015846406250000003,5634,705,7
364,179,96,0.0001412078125,0.0001541328125,5649,517,11
365,215,140,0.00014146875000000002,0.00014174375,5659,11,4
366,193,73,0.0001415671875,0.0001451921875,5663,145,5
367,63,120,0.0001417015625,0.0001622765625,5669,823,15
368,38,193,0.00014180625,0.00015038125,5673,343,12
369,162,153,0.000142109375,0.00015513437500000002,5685,521,10
370,208,12,0.00014233125,0.00014803125,5694,228,12
371,125,204,0.0001425203125,0.0001518953125,5701,375,3
372,246,165,0.00014261406250000002,0.0001494390625,5705,273,7
373,132,78,0.00014271562500000001,0.000147965625,5709,210,6
374,201,235,0.00014343749999999998,0.00015408749999999997,5738,426,8
375,229,218,0.0001436,0.00014774999999999999,5744,166,0
376,87,222,0.0001437921875,0.00016694218749999998,5752,926,5
377,26,43,0.000143796875,0.000146971875,5752,127,2
378,68,126,0.00014386875,0.00015911875,5755,610,4
379,24,135,0.0001438984375,0.00016482343750000002,5756,837,1
380,188,227,0.00014391249999999998,0.0001588625,5757,598,8
381,247,168,0.000144228125,0.00015305312500000002,5770,353,14
382,149,155,0.0001443671875,0.00015751718749999999,5775,526,5
383,220,60,0.000144575,0.00015790000000000002,5783,533,0
384,145,162,0.0001448296875,0.0001604796875,5794,626,13
385,108,5,0.0001448859375,0.0001646859375,5796,792,9
386,84,38,0.00014506875,0.00016649375,5803,857,4
387,20,102,0.00014524375000000002,0.00017034375000000003,5810,1004,4
388,191,131,0.000145540625,0.000164315625,5822,751,6
389,230,27,0.0001456796875,0.0001574546875,5828,471,13
390,50,132,0.000145815625,0.000165390625,5833,783,6
391,50,254,0.00014638906250000002,0.00015851406250000003,5856,485,7
392,176,200,0.00014645625,0.00016420625,5859,710,12
393,206,89,0.00014730625,0.00014988125,5893,103,12
394,26,184,0.000147553125,0.00015542812499999998,5903,315,14
395,50,11,0.0001487703125,0.0001666953125,5951,717,3
396,164,128,0.000148775,0.000162925,5951,566,0
397,77,194,0.0001487921875,0.0001539421875,5952,206,5
398,237,3,0.0001495953125,0.0001532703125,5984,147,3
399,230,26,0.000149746875,0.000156071875,5990,253,2
400,75,252,0.00014993906250000002,0.00016991406250000003,5998,799,7
401,117,80,0.0001515296875,0.0001714296875,6062,796,13
402,168,203,0.00015175312499999998,0.00015687812499999999,6071,205,14
403,118,152,0.00015233281249999998,0.0001731078125,6094,831,11
404,26,137,0.000152665625,0.00015421562500000002,6107,62,6
405,222,66,0.00015315625,0.00017258125,6127,777,12
406,111,96,0.00015384375,0.00015611875,6154,91,4
407,166,127,0.00015385625000000002,0.00017548125,6155,865,12
408,213,62,0.00015402187499999998,0.000160596875,6161,263,2
409,56,101,0.0001542546875,0.0001792796875,6171,1001,13
410,207,107,0.00015437968750000002,0.00016802968750000003,6176,546,13
411,107,228,0.00015471406250000002,0.00016358906250000003,6189,355,7
412,192,217,0.000154715625,0.000160215625,6189,220,6
413,214,88,0.0001547671875,0.0001642921875,6191,381,5
414,39,76,0.0001550875,0.0001748125,6204,789,8
415,55,111,0.0001553453125,0.0001646203125,6214,371,3
416,162,92,0.00015565468750000002,0.0001701296875,6227,579,13
417,241,214,0.00015755625,0.00016100625,6303,138,12
418,233,135,0.0001578046875,0.0001815796875,6313,951,13
419,153,8,0.00015904218749999998,0.00016926718749999997,6362,409,5
420,215,157,0.0001591671875,0.0001615921875,6367,97,5
421,68,245,0.0001613703125,0.00017177031250000002,6455,416,3
422,85,139,0.000161578125,0.000179478125,6464,716,14
423,102,34,0.0001615921875,0.0001835671875,6464,879,5
424,2,131,0.0001617640625,0.0001787890625,6471,681,7
425,195,42,0.0001624609375,0.00017981093750000002,6499,694,9
426,70,164,0.00016307187499999998,0.00016674687499999998,6523,147,2
427,97,188,0.0001631234375,0.0001822984375,6525,767,1
428,126,143,0.00016324375000000002,0.00016559375000000002,6530,94,4
429,94,121,0.000163403125,0.000186878125,6537,939,14
430,58,74,0.00016348749999999998,0.0001732125,6540,389,8
431,215,50,0.00016349375,0.00018864375,6540,1006,4
432,7,9,0.00016350937500000002,0.00017040937500000002,6541,276,10
433,132,72,0.000163721875,0.000172496875,6549,351,2
434,131,213,0.00016416875,0.00018569375,6567,861,4
435,191,200,0.00016458125,0.00016670625,6584,85,12
436,245,138,0.00016506718749999998,0.00017826718749999998,6603,528,5
437,80,36,0.00016513437500000001,0.00017963437500000001,6606,580,10
438,31,189,0.00016537187499999999,0.00018259687499999998,6615,689,2
439,112,78,0.000166378125,0.000175478125,6656,364,14
440,124,188,0.00016651875,0.00017871875,6661,488,4
441,183,141,0.0001671296875,0.0001910046875,6686,955,13
442,248,155,0.000167446875,0.00016757187499999999,6698,5,2
443,188,103,0.00016746875,0.00018561875,6699,726,4
444,215,248,0.0001682453125,0.0001887203125,6730,819,3
445,168,160,0.000169628125,0.000187828125,6786,728,14
446,145,199,0.00017083125,0.00017368125,6834,114,12
447,7,211,0.00017203906250000002,0.00017453906250000003,6882,100,7
448,202,165,0.000172375,0.00019305,6895,827,0
449,144,127,0.000172940625,0.000185540625,6918,504,6
450,82,43,0.00017301875,0.00019584375,6921,913,4
451,117,62,0.000173565625,0.000188815625,6943,610,6
452,40,227,0.0001748390625,0.0001879390625,6994,524,7
453,47,180,0.0001754671875,0.0001862421875,7019,431,5
454,115,179,0.000175615625,0.000182240625,7025,265,6
